key,module,page,component,slot,text,notes,status
landing.v2.install.mac_cta,landing,LandingPage,MarketingLanding,mac_cta,"Download for macOS",,active
landing.v2.install.win_cta,landing,LandingPage,MarketingLanding,win_cta,"Download for Windows",,active
landing.v2.install.desktop_cta,landing,LandingPage,MarketingLanding,desktop_cta,"Download desktop app",,active
landing.v2.install.os_macos,landing,LandingPage,MarketingLanding,os_macos,"macOS",,active
landing.v2.install.os_windows,landing,LandingPage,MarketingLanding,os_windows,"Windows",,active
landing.v2.install.availability,landing,LandingPage,MarketingLanding,availability,"Available for macOS and Windows",,active
landing.v2.models.title,landing,LandingPage,MarketingLanding,models_title,"SUPPORTED AI CLI TOOLS",,active
landing.v2.distill.body,landing,LandingPage,MarketingLanding,distill_body,"100% local processing. No prompts or code are ever collected.",,active
landing.v2.footer.line,landing,LandingPage,MarketingLanding,footer_line,"Token Tracker — Made by developers, for developers.",,active
landing.v2.nav.status,landing,LandingPage,MarketingLanding,nav_status,"Status",,active
landing.v2.nav.github,landing,LandingPage,MarketingLanding,nav_github,"GitHub",,active
landing.v2.cta.primary,landing,LandingPage,MarketingLanding,cta_primary,"Dashboard",,active
landing.v2.hero.subtagline,landing,LandingPage,MarketingLanding,hero_subtagline,"Automatically monitor token usage across Claude Code, Cursor, Codex, and more. Local-first, privacy-focused, and zero manual configuration.",,active
landing.v3.hero.kicker,landing,LandingPage,HeroSection,hero_kicker,"Desktop pet · 4 widgets · Achievements",,active
landing.v3.hero.subtitle,landing,LandingPage,HeroSection,hero_subtitle,"A living desktop companion powered by real activity from 27 AI coding tools — local-first, open source, and private by design.",,active
landing.v3.hero.stat_label,landing,LandingPage,HeroSection,hero_stat_label,"Tokens tracked by the community",,active
landing.v3.hero.scroll_hint,landing,LandingPage,HeroSection,hero_scroll_hint,"Scroll",,active
landing.v3.stats.devs_syncing,landing,LandingPage,HeroSection,stats_devs_syncing,"{{count}} developers syncing",,active
landing.v3.stats.fallback_tokens,landing,LandingPage,HeroSection,stats_fallback_tokens,"2200000000000",,active
landing.v3.stats.fallback_devs,landing,LandingPage,HeroSection,stats_fallback_devs,"600",,active
landing.v3.tools.count,landing,LandingPage,ToolsStrip,tools_count,"{{count}}+ AI coding agents supported out of the box.",,active
landing.v3.how.kicker,landing,LandingPage,HowItWorksSection,how_kicker,"How it works",,active
landing.v3.how.title,landing,LandingPage,HowItWorksSection,how_title,"From keystroke to dashboard in milliseconds.",,active
landing.v3.how.subtitle,landing,LandingPage,HowItWorksSection,how_subtitle,"No proxies. No API keys to paste. TokenTracker reads the usage your CLI already writes — entirely on your machine.",,active
landing.v3.how.step1.title,landing,LandingPage,HowItWorksSection,how_step1_title,"You run your agent",,active
landing.v3.how.step1.body,landing,LandingPage,HowItWorksSection,how_step1_body,"Claude Code, Codex, Cursor, Gemini — keep working exactly the way you already do.",,active
landing.v3.how.step2.title,landing,LandingPage,HowItWorksSection,how_step2_title,"A hook captures usage",,active
landing.v3.how.step2.body,landing,LandingPage,HowItWorksSection,how_step2_body,"Every turn's token counts are parsed straight from the CLI's own local session logs.",,active
landing.v3.how.step3.title,landing,LandingPage,HowItWorksSection,how_step3_title,"Queued on your machine",,active
landing.v3.how.step3.body,landing,LandingPage,HowItWorksSection,how_step3_body,"Counts are normalized into an append-only queue under ~/.tokentracker. Nothing leaves your disk.",,active
landing.v3.how.step4.title,landing,LandingPage,HowItWorksSection,how_step4_title,"Rendered live",,active
landing.v3.how.step4.body,landing,LandingPage,HowItWorksSection,how_step4_body,"The local dashboard aggregates every agent, model and hour the moment it lands.",,active
landing.v3.cap.kicker,landing,LandingPage,CapabilitiesSection,cap_kicker,"Everything in view",,active
landing.v3.cap.title,landing,LandingPage,CapabilitiesSection,cap_title,"One dashboard for every agent.",,active
landing.v3.cap.subtitle,landing,LandingPage,CapabilitiesSection,cap_subtitle,"Spend, limits, rhythm and models — the full picture of your AI usage, aggregated locally in real time.",,active
landing.v3.cap.limits.title,landing,LandingPage,CapabilitiesSection,cap_limits_title,"Usage-limit radar",,active
landing.v3.cap.limits.body,landing,LandingPage,CapabilitiesSection,cap_limits_body,"Watch 5-hour, weekly and monthly windows across providers — before you hit the wall mid-task.",,active
landing.v3.cap.heatmap.title,landing,LandingPage,CapabilitiesSection,cap_heatmap_title,"365-day activity heatmap",,active
landing.v3.cap.heatmap.body,landing,LandingPage,CapabilitiesSection,cap_heatmap_body,"Your coding rhythm at a glance, GitHub-style — every hour bucketed on your machine.",,active
landing.v3.cap.devices.title,landing,LandingPage,CapabilitiesSection,cap_devices_title,"Every device, one picture",,active
landing.v3.cap.devices.body,landing,LandingPage,CapabilitiesSection,cap_devices_body,"Menu bar on macOS, tray on Windows, CLI everywhere — optionally synced into a single account view.",,active
landing.v3.privacy.kicker,landing,LandingPage,PrivacySection,privacy_kicker,"Local-first",,active
landing.v3.privacy.title,landing,LandingPage,PrivacySection,privacy_title,"Your prompts never leave your machine.",,active
landing.v3.privacy.p1,landing,LandingPage,PrivacySection,privacy_p1,"Token counts only",,active
landing.v3.privacy.p2,landing,LandingPage,PrivacySection,privacy_p2,"No prompts. No code.",,active
landing.v3.privacy.p3,landing,LandingPage,PrivacySection,privacy_p3,"Open source on GitHub",,active
landing.v3.leaderboard.panel_title,landing,LandingPage,LeaderboardSection,leaderboard_panel_title,"Community rankings (global)",,active
landing.v3.leaderboard.live,landing,LandingPage,LeaderboardSection,leaderboard_live,"Live",,active
landing.v3.leaderboard.anonymous,landing,LandingPage,LeaderboardSection,leaderboard_anonymous,"Anonymous",,active
landing.v3.leaderboard.tokens_synced,landing,LandingPage,LeaderboardSection,leaderboard_tokens_synced,"{{count}} tokens synced",,active
landing.v3.download.title,landing,LandingPage,DownloadSection,download_title,"Start tracking in 30 seconds.",,active
landing.v3.download.subtitle,landing,LandingPage,DownloadSection,download_subtitle,"One command or one download. Free, open source, yours.",,active




identity_card.rank_label,ui,IdentityCard,IdentityCard,rank_label,"Started",,active
identity_card.streak_label,ui,IdentityCard,IdentityCard,streak_label,"Active days",,active
identity_card.rank_placeholder,ui,IdentityCard,IdentityCard,rank_placeholder,"—",,active
identity_card.streak_value,ui,IdentityCard,IdentityCard,streak_value,"{{days}} DAY",,active


dashboard.core_index.collapse_label,dashboard,DashboardPage,UsagePanel,toggle,"▾",,active
dashboard.core_index.expand_label,dashboard,DashboardPage,UsagePanel,toggle,"▸",,active
dashboard.core_index.collapse_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,"Collapse model breakdown",,active
dashboard.core_index.expand_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,"Expand model breakdown",,active
usage.summary.total,ui,UsagePanel,UsagePanel,summary_label_total,"Total tokens",,active
usage.summary.toggle_aria,ui,DashboardPage,UsageOverview,summary_toggle_aria,"Toggle token number format",,active
usage.metric.total,ui,UsagePanel,UsagePanel,metric_total,"Total",,active
usage.metric.input,ui,UsagePanel,UsagePanel,metric_input,"Input",,active
usage.metric.output,ui,UsagePanel,UsagePanel,metric_output,"Output",,active
usage.metric.cached_input,ui,UsagePanel,UsagePanel,metric_cached_input,"Cached input",,active
usage.metric.reasoning_output,ui,UsagePanel,UsagePanel,metric_reasoning_output,"Reasoning output",,active
usage.button.refresh,ui,UsagePanel,UsagePanel,button_refresh,"Refresh",,active

dashboard.rolling.title,ui,RollingUsagePanel,RollingUsagePanel,title,"Recent Activity",,active
dashboard.rolling.last_7d,ui,RollingUsagePanel,RollingUsagePanel,label_last_7d,"Last 7 days",,active
dashboard.rolling.last_30d,ui,RollingUsagePanel,RollingUsagePanel,label_last_30d,"Last 30 days",,active
dashboard.rolling.avg_active_day,ui,RollingUsagePanel,RollingUsagePanel,label_avg_active_day,"Daily average",,active

dashboard.projects.title,ui,DataDetails,DataDetails,title,"Project Usage",,active
dashboard.projects.limit_aria,ui,DataDetails,DataDetails,limit_aria,"Select project limit",,active
dashboard.projects.limit_top_3,ui,DataDetails,DataDetails,limit_top_3,"TOP 3",,active
dashboard.projects.limit_top_6,ui,DataDetails,DataDetails,limit_top_6,"TOP 6",,active
dashboard.projects.limit_top_10,ui,DataDetails,DataDetails,limit_top_10,"TOP 10",,active
dashboard.projects.empty,ui,DataDetails,DataDetails,empty,"No project usage yet. Run a supported CLI inside a git repository and its usage lands here.",,active
dashboard.projects.sources_more,ui,DataDetails,DataDetails,sources_more,"+{{n}}",,active
dashboard.projects.detail.badge,ui,DataDetails,ProjectDetailModal,badge,"Project",,active
dashboard.projects.detail.close_aria,ui,DataDetails,ProjectDetailModal,close_aria,"Close project details",,active
dashboard.projects.detail.error,ui,DataDetails,ProjectDetailModal,error,"Failed to load project details",,active
dashboard.projects.detail.empty_range,ui,DataDetails,ProjectDetailModal,empty_range,"No usage in the selected range",,active
dashboard.projects.detail.stat_total,ui,DataDetails,ProjectDetailModal,stat_total,"Total tokens",,active
dashboard.projects.detail.stat_conversations,ui,DataDetails,ProjectDetailModal,stat_conversations,"Conversations",,active
dashboard.projects.detail.stat_active_days,ui,DataDetails,ProjectDetailModal,stat_active_days,"Active days",,active
dashboard.projects.detail.stat_avg_day,ui,DataDetails,ProjectDetailModal,stat_avg_day,"Avg / active day",,active
dashboard.projects.detail.stat_cache_hit,ui,DataDetails,ProjectDetailModal,stat_cache_hit,"Cache hit rate",,active
dashboard.projects.detail.stat_share,ui,DataDetails,ProjectDetailModal,stat_share,"Usage share",,active
dashboard.projects.detail.section_trend,ui,DataDetails,ProjectDetailModal,section_trend,"Daily activity",,active
dashboard.projects.detail.section_composition,ui,DataDetails,ProjectDetailModal,section_composition,"Token composition",,active
dashboard.projects.detail.section_sources,ui,DataDetails,ProjectDetailModal,section_sources,"By source",,active
dashboard.projects.detail.comp_input,ui,DataDetails,ProjectDetailModal,comp_input,"Input",,active
dashboard.projects.detail.comp_cached,ui,DataDetails,ProjectDetailModal,comp_cached,"Cached input",,active
dashboard.projects.detail.comp_cache_write,ui,DataDetails,ProjectDetailModal,comp_cache_write,"Cache write",,active
dashboard.projects.detail.comp_output,ui,DataDetails,ProjectDetailModal,comp_output,"Output",,active
dashboard.projects.detail.comp_reasoning,ui,DataDetails,ProjectDetailModal,comp_reasoning,"Reasoning",,active
dashboard.projects.detail.source_days,ui,DataDetails,ProjectDetailModal,source_days,"{{n}}d",,active
dashboard.projects.detail.source_conv,ui,DataDetails,ProjectDetailModal,source_conv,"{{n}} conv",,active
dashboard.widgets.title,dashboard,DashboardPage,WidgetOnboardingCard,title,"Desktop Widgets",,active
dashboard.widgets.hint,dashboard,DashboardPage,WidgetOnboardingCard,hint,"Right-click your desktop → Edit Widgets → search ""TokenTracker""",,active
dashboard.widgets.dismiss_aria,dashboard,DashboardPage,WidgetOnboardingCard,dismiss_aria,"Dismiss widget intro",,active
widgets.page.title,dashboard,WidgetsPage,WidgetsPage,title,"Menu Bar & Widgets",,active
widgets.cta.open_gallery,dashboard,WidgetsPage,WidgetsPage,cta_open_gallery,"Open Widget Gallery",,active
widgets.cta.download,dashboard,WidgetsPage,WidgetsPage,cta_download,"Download Mac App",,active
widgets.cta.macos_only,dashboard,WidgetsPage,WidgetsPage,cta_macos_only,"macOS only",,active
widgets.menubar.section.title,dashboard,WidgetsPage,WidgetsPage,menubar_section_title,"Menu Bar",,active
widgets.gallery.section.title,dashboard,WidgetsPage,WidgetsPage,gallery_section_title,"Desktop Widgets",,active
widgets.summary.name,dashboard,WidgetsPage,WidgetsPage,summary_name,"Usage Summary",,active
widgets.summary.description,dashboard,WidgetsPage,WidgetsPage,summary_desc,"Today and seven-day usage with a compact sparkline.",,active
widgets.heatmap.name,dashboard,WidgetsPage,WidgetsPage,heatmap_name,"Activity Heatmap",,active
widgets.heatmap.description,dashboard,WidgetsPage,WidgetsPage,heatmap_desc,"GitHub-style daily calendar. Spot streaks and quiet days at a glance.",,active
widgets.topModels.name,dashboard,WidgetsPage,WidgetsPage,topmodels_name,"Top Models",,active
widgets.topModels.description,dashboard,WidgetsPage,WidgetsPage,topmodels_desc,"Your heaviest-used models ranked by token share.",,active
widgets.limits.name,dashboard,WidgetsPage,WidgetsPage,limits_name,"Usage Limits",,active
widgets.limits.description,dashboard,WidgetsPage,WidgetsPage,limits_desc,"Live rate-limit progress for Claude, Codex, Cursor, Gemini and more.",,active
dashboard.cost_breakdown.title,ui,CostAnalysisModal,CostAnalysisModal,title,"Cost Breakdown",,active
dashboard.cost_breakdown.total_label,ui,CostAnalysisModal,CostAnalysisModal,total_label,"Estimated Total Cost",,active
dashboard.cost_breakdown.close,ui,CostAnalysisModal,CostAnalysisModal,close_label,"Close",,active


trend.monitor.label,ui,TrendMonitor,TrendMonitor,label,"Usage Trend",,active
trend.monitor.predicted,ui,TrendMonitor,TrendMonitor,predicted_label,"Estimated",,active
trend.zoom.open_aria,ui,TrendMonitor,TrendMonitor,zoom_open_aria,"Expand to full screen",,active
trend.zoom.close_aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_close_aria,"Close",,active
trend.zoom.badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_badge,"Trend Insight",,active
trend.zoom.desc,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_desc,"Hover any bar to inspect tokens, cost and conversations. Switch granularity to drill from months down to half-hours.",,active
trend.zoom.insight_badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_badge,"Insight",,active
trend.zoom.tooltip.cost,ui,TrendMonitor,TrendMonitor,zoom_tooltip_cost,"cost",,active
trend.zoom.tooltip.conversations,ui,TrendMonitor,TrendMonitor,zoom_tooltip_conversations,"conversations",,active
trend.zoom.stats.tokens,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_tokens,"Total Tokens",,active
trend.zoom.stats.cost,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_cost,"Total Cost",,active
trend.zoom.stats.conversations,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_conversations,"Conversations",,active
trend.zoom.stats.peak,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_peak,"Peak Bucket",,active
trend.zoom.gran.aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_aria,"Granularity",,active
trend.zoom.gran.30min,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_30min,"30 min",,active
trend.zoom.gran.day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_day,"Day",,active
trend.zoom.gran.month,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_month,"Month",,active
trend.zoom.prev_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_prev_day,"Previous day",,active
trend.zoom.next_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_next_day,"Next day",,active
trend.zoom.loading,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_loading,"Loading…",,active
trend.zoom.pick_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_day,"Pick a day",,active
trend.zoom.pick_range,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_range,"Pick a date range",,active
trend.zoom.insight.empty,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_empty,"A quiet stretch. Not a single token crossed the wire.",,active
trend.zoom.insight.calm,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_calm,"Light touch. The model mostly sat on standby, waking only when you reached for it.",,active
trend.zoom.insight.steady,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_steady,"A steady rhythm across {{active}} active stretches, cresting at {{peak}}. The kind of pace that ships things without drama.",,active
trend.zoom.insight.heavy,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_heavy,"Heavy lifting: {{active}} stretches running hot, peaking at {{peak}}. This is output from someone who manufactures momentum instead of waiting for it.",,active
trend.zoom.insight.massive,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_massive,"Industrial scale. A {{peak}} peak and throughput that never cools. At this volume you are not using the model, you are running a foundry.",,active

heatmap.title,ui,ActivityHeatmap,ActivityHeatmap,title,"Activity Heatmap",,active
heatmap.empty,ui,ActivityHeatmap,ActivityHeatmap,empty_state,"No activity data yet.",,active
heatmap.legend.less,ui,ActivityHeatmap,ActivityHeatmap,legend_less,"Less",,active
heatmap.legend.more,ui,ActivityHeatmap,ActivityHeatmap,legend_more,"More",,active
heatmap.legend.utc,ui,ActivityHeatmap,ActivityHeatmap,legend_utc,"UTC",,active
heatmap.tooltip,ui,ActivityHeatmap,ActivityHeatmap,tooltip,"{{day}} • {{value}} {{unit}} • {{tz}}",,active
heatmap.unit.tokens,ui,ActivityHeatmap,ActivityHeatmap,unit_tokens,"tokens",,active
heatmap.iso.aria,ui,ActivityHeatmap,ActivityHeatmap3D,iso_aria,"3D isometric activity heatmap",,active
heatmap.view.2d,ui,ActivityHeatmap,ActivityHeatmap,view_2d,"2D",,active
heatmap.view.3d,ui,ActivityHeatmap,ActivityHeatmap,view_3d,"3D",,active
heatmap.month.jan,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Jan",,active
heatmap.month.feb,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Feb",,active
heatmap.month.mar,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Mar",,active
heatmap.month.apr,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Apr",,active
heatmap.month.may,ui,ActivityHeatmap,ActivityHeatmap,month_label,"May",,active
heatmap.month.jun,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Jun",,active
heatmap.month.jul,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Jul",,active
heatmap.month.aug,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Aug",,active
heatmap.month.sep,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Sep",,active
heatmap.month.oct,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Oct",,active
heatmap.month.nov,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Nov",,active
heatmap.month.dec,ui,ActivityHeatmap,ActivityHeatmap,month_label,"Dec",,active
heatmap.day.sun,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Sun",,active
heatmap.day.mon,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Mon",,active
heatmap.day.tue,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Tue",,active
heatmap.day.wed,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Wed",,active
heatmap.day.thu,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Thu",,active
heatmap.day.fri,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Fri",,active
heatmap.day.sat,ui,ActivityHeatmap,ActivityHeatmap,day_label,"Sat",,active




daily.sort.date.label,dashboard,DashboardPage,DailyTable,sort_label,"Date",,active
daily.sort.date.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Date",,active
daily.sort.total.label,dashboard,DashboardPage,DailyTable,sort_label,"Total",,active
daily.sort.total.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Total",,active
daily.sort.input.label,dashboard,DashboardPage,DailyTable,sort_label,"Input",,active
daily.sort.input.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Input",,active
daily.sort.output.label,dashboard,DashboardPage,DailyTable,sort_label,"Output",,active
daily.sort.output.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Output",,active
daily.sort.cached.label,dashboard,DashboardPage,DailyTable,sort_label,"Cached",,active
daily.sort.cached.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Cached input",,active
daily.sort.reasoning.label,dashboard,DashboardPage,DailyTable,sort_label,"Reasoning",,active
daily.sort.reasoning.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Reasoning output",,active
daily.sort.conversations.label,dashboard,DashboardPage,DailyTable,sort_label,"Convs",,active
daily.sort.conversations.title,dashboard,DashboardPage,DailyTable,sort_title,"Sort by Conversations",,active
details.pagination.prev,dashboard,DashboardPage,DailyTable,pagination_prev,"Prev",,active
details.pagination.next,dashboard,DashboardPage,DailyTable,pagination_next,"Next",,active



leaderboard.profile.nav.back,dashboard,LeaderboardProfilePage,Header,nav_back,"Leaderboard",,active
leaderboard.profile.nav.download,dashboard,LeaderboardProfilePage,Header,nav_download,"Download",Shown only to browser visitors without the app,active
leaderboard.profile.hero.rank_label,dashboard,LeaderboardProfilePage,Hero,rank_label,"Rank",,active
leaderboard.title,dashboard,LeaderboardPage,LeaderboardPage,title,"Leaderboard",,active
leaderboard.range,dashboard,LeaderboardPage,LeaderboardPage,range,"UTC {{period}} · {{from}} – {{to}}",,active
leaderboard.range_loading,dashboard,LeaderboardPage,LeaderboardPage,range_loading,"UTC {{period}} · …",,active
leaderboard.range.total,dashboard,LeaderboardPage,LeaderboardPage,range_total,"All time",,active
leaderboard.generated_at,dashboard,LeaderboardPage,LeaderboardPage,generated_at,"Updated {{ts}}",,active
leaderboard.period.week,dashboard,LeaderboardPage,LeaderboardPage,period_week,"Week",,active
leaderboard.period.month,dashboard,LeaderboardPage,LeaderboardPage,period_month,"Month",,active
leaderboard.period.total,dashboard,LeaderboardPage,LeaderboardPage,period_total,"All",,active

leaderboard.me_label,dashboard,LeaderboardPage,LeaderboardPage,me_label,"You",,active
leaderboard.anon_label,dashboard,LeaderboardPage,LeaderboardPage,anon_label,"Anonymous",,active
